AHNS VICON STATE MESSAGES LOG FOR logs/Vicon_Wednesday-06-10-2010-071053.log
TIME, VICON_X, VICON_Y, VICON_Z, VICON_VX, VICON_VY, VICON_VZ, VICON_PHI, VICON_PSI
9.77891,-0.314621,0.943664,0.171612,0.00113674,-0.000855314,-0.00343999,-0.0143509,-0.0122971,-0.942682
9.7805,-0.314655,0.943665,0.17157,-0.00380461,0.000138174,-0.00466053,-0.0141496,-0.0122561,-0.942681
9.78239,-0.314687,0.94369,0.171563,-0.00359326,0.00278957,-0.00074051,-0.0141315,-0.0122843,-0.942822
9.79938,-0.314732,0.94367,0.171612,-0.00375597,-0.00166735,0.00411074,-0.0142962,-0.0123351,-0.942977
9.80144,-0.314666,0.943678,0.17162,0.0066307,0.000768008,0.000745333,-0.0143403,-0.0122152,-0.942731
9.80997,-0.314675,0.94367,0.171611,-0.00111686,-0.000922434,-0.00108955,-0.0142847,-0.0121903,-0.942783
9.83341,-0.314664,0.943666,0.171615,0.00108922,-0.000434718,0.000355113,-0.0142707,-0.0122046,-0.942696
9.84305,-0.314656,0.943679,0.17159,0.000483506,0.000759954,-0.00147779,-0.0142446,-0.0121776,-0.94257
9.84355,-0.314801,0.943516,0.171621,-0.0483223,-0.0543444,0.0105847,-0.0145343,-0.0128665,-0.945362
9.85482,-0.314745,0.943681,0.171555,0.00428516,0.0126902,-0.00512598,-0.0137542,-0.0120714,-0.943196
9.86443,-0.314665,0.943674,0.171611,0.00888786,-0.000746035,0.00624475,-0.0143739,-0.0123777,-0.942728
9.87162,-0.314677,0.943699,0.171585,-0.00171521,0.00350531,-0.00374234,-0.0141894,-0.0123519,-0.942747
9.8867,-0.31465,0.943681,0.171586,0.00158259,-0.00101709,8.55844e-05,-0.0142861,-0.0122932,-0.9428
9.89273,-0.314638,0.94371,0.171589,0.00297522,0.00708999,0.000626874,-0.0141924,-0.0121702,-0.942839
9.90497,-0.314676,0.943699,0.171594,-0.00378619,-0.0010746,0.000572898,-0.0142899,-0.0120516,-0.942698
9.91656,-0.314709,0.943675,0.171605,-0.00330088,-0.0023535,0.00107667,-0.0142265,-0.0123172,-0.942843
9.9247,-0.31478,0.943564,0.171654,-0.00503556,-0.00795975,0.00348069,-0.0146256,-0.0130296,-0.945456
9.93232,-0.314682,0.943677,0.17162,0.013922,0.0161283,-0.00479986,-0.0143638,-0.0122166,-0.942827
9.94585,-0.314668,0.943654,0.171612,0.00145827,-0.00226111,-0.000866466,-0.0142629,-0.0122132,-0.942669
